[2026-01-28 19:15:58] Disaster detected | Severity: HIGH
[2026-02-12 11:53:33] Disaster detected | Severity: LOW
[2026-02-12 11:53:38] Disaster detected | Severity: CRITICAL
[2026-02-12 11:53:43] Disaster detected | Severity: CRITICAL
[2026-02-12 11:53:48] Disaster detected | Severity: CRITICAL
[2026-02-12 11:53:53] Disaster detected | Severity: CRITICAL
[2026-02-12 11:53:58] Disaster detected | Severity: HIGH
[2026-02-12 11:54:03] Disaster detected | Severity: MODERATE
[2026-02-12 11:54:08] Disaster detected | Severity: HIGH
[2026-02-12 11:54:13] Disaster detected | Severity: CRITICAL
[2026-02-12 11:54:18] Disaster detected | Severity: HIGH
[2026-02-12 11:54:23] Disaster detected | Severity: HIGH
[2026-02-12 11:54:28] Disaster detected | Severity: HIGH
[2026-02-12 11:54:33] Disaster detected | Severity: MODERATE
[2026-02-12 11:54:38] Disaster detected | Severity: MODERATE
[2026-02-12 11:54:43] Disaster detected | Severity: MODERATE
[2026-02-12 11:54:48] Disaster detected | Severity: MODERATE
[2026-02-12 11:54:53] Disaster detected | Severity: CRITICAL
[2026-02-12 11:54:58] Disaster detected | Severity: MODERATE
[2026-02-12 11:55:03] Disaster detected | Severity: MODERATE
[2026-02-12 11:55:08] Disaster detected | Severity: MODERATE
[2026-02-12 11:55:13] Disaster detected | Severity: MODERATE
[2026-02-12 11:55:18] Disaster detected | Severity: LOW
[2026-02-12 11:55:23] Disaster detected | Severity: CRITICAL
[2026-02-12 11:55:28] Disaster detected | Severity: CRITICAL
[2026-02-12 11:55:33] Disaster detected | Severity: MODERATE
[2026-02-12 11:55:38] Disaster detected | Severity: HIGH
[2026-02-12 11:55:43] Disaster detected | Severity: CRITICAL
[2026-02-12 11:55:48] Disaster detected | Severity: LOW
[2026-02-12 11:57:04] Disaster detected | Severity: MODERATE
[2026-02-12 11:57:09] Disaster detected | Severity: LOW
[2026-02-12 11:57:14] Disaster detected | Severity: LOW
[2026-02-12 11:57:19] Disaster detected | Severity: HIGH
[2026-02-12 11:57:24] Disaster detected | Severity: LOW
[2026-02-12 11:57:29] Disaster detected | Severity: CRITICAL
[2026-02-12 11:57:34] Disaster detected | Severity: MODERATE
[2026-02-12 11:57:39] Disaster detected | Severity: HIGH
[2026-02-12 11:57:44] Disaster detected | Severity: HIGH
[2026-02-12 11:57:49] Disaster detected | Severity: HIGH
[2026-02-12 11:57:54] Disaster detected | Severity: HIGH
[2026-02-12 11:57:59] Disaster detected | Severity: CRITICAL
[2026-02-12 11:58:04] Disaster detected | Severity: HIGH
[2026-02-12 11:58:09] Disaster detected | Severity: CRITICAL
[2026-02-12 11:58:14] Disaster detected | Severity: CRITICAL
[2026-02-12 11:58:19] Disaster detected | Severity: LOW
[2026-02-12 11:58:24] Disaster detected | Severity: LOW
[2026-02-12 11:58:29] Disaster detected | Severity: HIGH
[2026-02-12 11:58:34] Disaster detected | Severity: HIGH
[2026-02-12 11:58:39] Disaster detected | Severity: CRITICAL
[2026-02-12 11:58:44] Disaster detected | Severity: LOW
